SEQ_ID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
182,107655,2202400,22024,Professional Cosmetology Education Center,El Dorado,AR,www.professionalcosmetologyeducation.edu,professionalcosmetologyeducation.edu/index.php?option=com_content&view=article&id=75&Itemid=74,33
183,107664,2075300,20753,Pulaski Technical College,North Little Rock,AR,www.pulaskitech.edu,www.pulaskitech.edu/administration/net_price_calculator/npcalc.htm,13
184,107725,573200,5732,University of Arkansas Community College-Hope,Hope,AR,www.uacch.edu,www.uacch.edu/netpricecal/npcalc.htm,32
185,107743,2111100,21111,Rich Mountain Community College,Mena,AR,www.rmcc.edu,www.rmcc.edu,33
186,107789,792100,7921,Paul Mitchell the School-Arkansas,Fayetteville,AR,www.pmtsarkansas.com,school.paulmitchell.edu/fayetteville-ar/programs/netprice?progid=1,13
187,107831,2569600,25696,Searcy Beauty College Inc,Searcy,AR,searcybeautycollege.com/,searcybeautycollege.com,32
188,107840,110500,1105,Shorter College,N Little Rock,AR,www.shortercollege.org/,www.shortercollege.edu,13
189,107877,110600,1106,Williams Baptist College,Walnut Ridge,AR,www.wbcoll.edu,williamsbaptistcollege.com/financial_aid_scholarships/net_price_calculator.aspx,42
190,107974,2074600,20746,South Arkansas Community College,El Dorado,AR,www.southark.edu,www.southark.edu/netpricecalculator/,33
191,107983,110700,1107,Southern Arkansas University Main Campus,Magnolia,AR,WWW.SAUMAG.EDU,www.saumag.edu/netprice/,33
192,107992,773800,7738,Southern Arkansas University Tech,Camden,AR,www.sautech.edu,www.sautech.edu/tuit_calc.aspx,42
193,108065,3214300,32143,Velvatex College of Beauty Culture,Little Rock,AR,www.velvatexcollege.com,www.velvatexcollege.com,12
194,108092,111000,1110,University of Arkansas-Fort Smith,Fort Smith,AR,uafs.edu/,uafscalculator.com/,13
195,108232,753100,7531,Academy of Art University,San Francisco,CA,www.academyart.edu,npc.collegeboard.org/student/app/academyart,11
196,108250,732971,7329,ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,www.itt-tech.edu,www.itt-tech.edu/npc,13
197,108269,3288300,32883,Academy of Chinese Culture and Health Sciences,Oakland,CA,www.acchs.edu,www.acchs.edu,11
198,108348,2342400,23424,The Academy of Radio and TV Broadcasting,Huntington Beach,CA,WWW.ARBRADIO.COM,www.arbradio.com/NetPriceCalculator/npcalc.htm,21
199,108649,2258600,22586,Avalon School of Cosmetology-Alameda,Alameda,CA,avalon.edu,avalon.edu/consumer-information/,21
200,108667,672000,6720,College of Alameda,Alameda,CA,www.peralta.edu,webprod.cccco.edu/npc/341/npcalc.htm,21
